Frequency(Hz)	S21_complex
4.600000000000e+09	8.779732383127e-01+3.193440268139e-01j
4.600120012001e+09	8.849588885513e-01+2.998978788144e-01j
4.600240024002e+09	8.915084380840e-01+2.802875087031e-01j
4.600360036004e+09	8.976168026254e-01+2.605115883193e-01j
4.600480048005e+09	9.032938311352e-01+2.406223147698e-01j
4.600600060006e+09	9.085364852019e-01+2.205748619042e-01j
4.600720072007e+09	9.133013880980e-01+2.004379265163e-01j
4.600840084008e+09	9.176544975779e-01+1.801851098401e-01j
4.600960096010e+09	9.215317480756e-01+1.598214938578e-01j
4.601080108011e+09	9.249808629481e-01+1.393820231203e-01j
4.601200120012e+09	9.279608578143e-01+1.188594884840e-01j
4.601320132013e+09	9.304986406968e-01+9.826974676900e-02j
4.601440144014e+09	9.325576951814e-01+7.761924429861e-02j
4.601560156016e+09	9.341758870976e-01+5.690291449914e-02j
4.601680168017e+09	9.353170728065e-01+3.617117278487e-02j
4.601800180018e+09	9.360012693087e-01+1.539916384540e-02j
4.601920192019e+09	9.362411613843e-01-5.367049107606e-03j
4.602040204020e+09	9.360113823465e-01-2.616807761154e-02j
4.602160216022e+09	9.353052972280e-01-4.694799282054e-02j
4.602280228023e+09	9.341342365838e-01-6.773354324220e-02j
4.602400240024e+09	9.325144281412e-01-8.847991080540e-02j
4.602520252025e+09	9.304277536438e-01-1.091929393321e-01j
4.602640264026e+09	9.278784314028e-01-1.298652897870e-01j
4.602760276028e+09	9.248533029546e-01-1.504899267362e-01j
4.602880288029e+09	9.213896170141e-01-1.710473954307e-01j
4.603000300030e+09	9.174554740455e-01-1.915142540620e-01j
4.603120312031e+09	9.130636106062e-01-2.119134446898e-01j
4.603240324032e+09	9.082182224019e-01-2.321991427019e-01j
4.603360336034e+09	9.029152525521e-01-2.523959059331e-01j
4.603480348035e+09	8.971646550299e-01-2.724708602573e-01j
4.603600360036e+09	8.909748129311e-01-2.924187169573e-01j
4.603720372037e+09	8.843229112825e-01-3.122235350340e-01j
4.603840384038e+09	8.772292771293e-01-3.318882035056e-01j
4.603960396040e+09	8.696887473413e-01-3.513952549593e-01j
4.604080408041e+09	8.617300877653e-01-3.707322301323e-01j
4.604200420042e+09	8.533316379853e-01-3.898985706610e-01j
4.604320432043e+09	8.444977156609e-01-4.088775179537e-01j
4.604440444044e+09	8.352421122455e-01-4.276536741960e-01j
4.604560456046e+09	8.255767340573e-01-4.462228427671e-01j
4.604680468047e+09	8.154778846439e-01-4.645810592461e-01j
4.604800480048e+09	8.049650495869e-01-4.827088101679e-01j
4.604920492049e+09	7.940545377649e-01-5.006250450522e-01j
4.605040504050e+09	7.827455341993e-01-5.182895496664e-01j
4.605160516052e+09	7.710418646429e-01-5.356848602626e-01j
4.605280528053e+09	7.589261798384e-01-5.528206344785e-01j
4.605400540054e+09	7.464548250332e-01-5.697040476485e-01j
4.605520552055e+09	7.335772641538e-01-5.862992879067e-01j
4.605640564056e+09	7.203309213407e-01-6.025984665244e-01j
4.605760576058e+09	7.067356104060e-01-6.186128490464e-01j
4.605880588059e+09	6.927732553821e-01-6.343244735969e-01j
4.606000600060e+09	6.784439475398e-01-6.497243113723e-01j
4.606120612061e+09	6.637811382950e-01-6.647863939715e-01j
4.606240624062e+09	6.487692965953e-01-6.795437848882e-01j
4.606360636064e+09	6.334318607777e-01-6.939550579400e-01j
4.606480648065e+09	6.177768092443e-01-7.080188443077e-01j
4.606600660066e+09	6.017920080070e-01-7.217292546844e-01j
4.606720672067e+09	5.854910810818e-01-7.350782927948e-01j
4.606840684068e+09	5.689205612931e-01-7.480710775230e-01j
4.606960696070e+09	5.520163891020e-01-7.606990648135e-01j
4.607080708071e+09	5.348569787697e-01-7.729145510047e-01j
4.607200720072e+09	5.174097833443e-01-7.847793463326e-01j
4.607320732073e+09	4.996937398116e-01-7.962382009289e-01j
4.607440744074e+09	4.817233437806e-01-8.073081228745e-01j
4.607560756076e+09	4.634996210831e-01-8.179609820038e-01j
4.607680768077e+09	4.450421151329e-01-8.282080088713e-01j
4.607800780078e+09	4.263397050552e-01-8.380409565991e-01j
4.607920792079e+09	4.074205916923e-01-8.474467064173e-01j
4.608040804080e+09	3.882995392924e-01-8.564380587157e-01j
4.608160816082e+09	3.689731665966e-01-8.649922394836e-01j
4.608280828083e+09	3.494369101479e-01-8.731007343842e-01j
4.608400840084e+09	3.297361081916e-01-8.807870775461e-01j
4.608520852085e+09	3.098425742119e-01-8.880225496970e-01j
4.608640864086e+09	2.898029884093e-01-8.948122047881e-01j
4.608760876088e+09	2.695980218989e-01-9.011421107046e-01j
4.608880888089e+09	2.492502900003e-01-9.070205148025e-01j
4.609000900090e+09	2.287737266990e-01-9.124299072507e-01j
4.609120912091e+09	2.081629199466e-01-9.173907100800e-01j
4.609240924092e+09	1.874537244129e-01-9.218770449628e-01j
4.609360936094e+09	1.666291067050e-01-9.259031421233e-01j
4.609480948095e+09	1.457207297587e-01-9.294477558950e-01j
4.609600960096e+09	1.247467577088e-01-9.325301545951e-01j
4.609720972097e+09	1.036832743548e-01-9.351241010233e-01j
4.609840984098e+09	8.257210001022e-02-9.372573883186e-01j
4.609960996100e+09	6.140197898976e-02-9.389062499527e-01j
4.610081008101e+09	4.019412203275e-02-9.400714157731e-01j
4.610201020102e+09	1.898326416192e-02-9.407576400518e-01j
4.610321032103e+09	-2.270300264969e-03-9.409747331096e-01j
4.610441044104e+09	-2.352714285871e-02-9.406997321559e-01j
4.610561056106e+09	-4.477246416392e-02-9.399451794471e-01j
4.610681068107e+09	-6.599156599629e-02-9.387100854381e-01j
4.610801080108e+09	-8.720142668465e-02-9.369965203058e-01j
4.610921092109e+09	-1.083525773193e-01-9.348034818330e-01j
4.611041104110e+09	-1.294679829036e-01-9.321203846543e-01j
4.611161116112e+09	-1.505283611181e-01-9.289767726592e-01j
4.611281128113e+09	-1.714960961023e-01-9.253321674086e-01j
